Title,Artist,Link
"I Knew It, I Knew You",1,https://www.billboard.comhttps://www.billboard.com/artist/taylor-swift/
Choosin' Texas,2,https://www.billboard.comhttps://www.billboard.com/artist/ella-langley/
Stupid Song,3,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Drop Dead,4,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Be Her,5,https://www.billboard.comhttps://www.billboard.com/artist/ella-langley/
The Cure,6,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Janice STFU,7,https://www.billboard.comhttps://www.billboard.com/artist/drake/
Hate That I Made You Love Me,8,https://www.billboard.comhttps://www.billboard.com/artist/ariana-grande/
Honeybee,9,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Man I Need,10,https://www.billboard.comhttps://www.billboard.com/artist/olivia-dean/
I Just Might,11,https://www.billboard.comhttps://www.billboard.com/artist/bruno-mars/
Maggots For Brains,12,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
So Easy (To Fall In Love),13,https://www.billboard.comhttps://www.billboard.com/artist/olivia-dean/
I Can't Love You Anymore,14,https://www.billboard.comhttps://www.billboard.com/artist/ella-langley/
My Way,15,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Begged,16,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
What's Wrong With Me,17,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Dracula,18,https://www.billboard.comhttps://www.billboard.com/artist/tame-impala/
u + me = <3,19,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Expectations,20,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Less,21,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Boston,22,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
Risk It All,23,https://www.billboard.comhttps://www.billboard.com/artist/bruno-mars/
Stateside,24,https://www.billboard.comhttps://www.billboard.com/artist/pinkpantheress/
Purple,25,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Shabang,26,https://www.billboard.comhttps://www.billboard.com/artist/drake/
Cigarette Smoke,27,https://www.billboard.comhttps://www.billboard.com/artist/olivia-rodrigo/
Homewrecker,28,https://www.billboard.comhttps://www.billboard.com/artist/sombr/
Midnight Sun,29,https://www.billboard.comhttps://www.billboard.com/artist/zara-larsson/
Earrings,30,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-14/
Be By You,31,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
Don't We,32,https://www.billboard.comhttps://www.billboard.com/artist/morgan-wallen/
Cinderella,33,https://www.billboard.comhttps://www.billboard.com/artist/mac-miller/
Babydoll,34,https://www.billboard.comhttps://www.billboard.com/artist/dominic-fike/
Spend Dat,35,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-06-06/
Ran To Atlanta,36,https://www.billboard.comhttps://www.billboard.com/artist/drake/
Chicago,37,https://www.billboard.comhttps://www.billboard.com/artist/michael-jackson/
Iconic By Mistake,38,https://www.billboard.comhttps://www.billboard.com/artist/le-sserafim/
Sleepless In A Hotel Room,39,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
E85,40,https://www.billboard.comhttps://www.billboard.com/artist/don-toliver/
Whisper My Name,41,https://www.billboard.comhttps://www.billboard.com/artist/drake/
Loving Life Again,42,https://www.billboard.comhttps://www.billboard.com/artist/ella-langley/
Pop Dat Thang,43,https://www.billboard.comhttps://www.billboard.com/artist/dababy/
National Treasures,44,https://www.billboard.comhttps://www.billboard.com/artist/drake/
2 Hard 4 The Radio,45,https://www.billboard.comhttps://www.billboard.com/artist/drake/
American Girls,46,https://www.billboard.comhttps://www.billboard.com/artist/harry-styles/
Human Nature,47,https://www.billboard.comhttps://www.billboard.com/artist/michael-jackson/
Freakin' Out,48,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-04/
Change My Mind,49,https://www.billboard.comhttps://www.billboard.com/artist/riley-green/
The Great Divide,50,https://www.billboard.comhttps://www.billboard.com/artist/noah-kahan/
Motion Party,51,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-28/
Die On This Hill,52,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-01-03/
Don't Tell On Me,53,https://www.billboard.comhttps://www.billboard.com/artist/jason-aldean/
Hit The Wall,54,https://www.billboard.comhttps://www.billboard.com/artist/gracie-abrams/
