Food_Recipes,Food_Ratings,Food_Reviews,Food_Photos,full_links
No,No,No,No,https://www.allrecipes.com/search?q=Banana+Bread
Chicken Chimichangas with Sour Cream Sauce,4.7,522 Reviews,104 Photos,https://www.allrecipes.com/recipe/214572/chicken-chimichangas-with-sour-cream-sauce/
Coconut Margarita,4.9,15 Reviews,4 Photos,https://www.allrecipes.com/recipe/232459/creamy-coconut-margarita/
Simply Guacamole,4.7,53 Reviews,15 Photos,https://www.allrecipes.com/recipe/163625/simply-guacamole/
Seafood Chili,5.0,1 Review,3 Photos,https://www.allrecipes.com/recipe/245409/seafood-chili/
Arroz Rojo (Mexican Red Rice),4.7,60 Reviews,14 Photos,https://www.allrecipes.com/recipe/221433/arroz-rojo-mexican-red-rice/
No,No,No,No,https://www.allrecipes.com/recipes/17668/holidays-and-events/lunar-new-year/
No,No,No,No,https://www.allrecipes.com/recipes/194/holidays-and-events/passover/
Paloma,4.9,7 Reviews,4 Photos,https://www.allrecipes.com/recipe/232446/paloma/
No,No,No,No,https://www.allrecipes.com/search?q=Smoothies
No,No,No,No,https://www.allrecipes.com/search?q=Cookies
Horchata,4.5,420 Reviews,52 Photos,https://www.allrecipes.com/recipe/141828/lolas-horchata/
Pastel de Tres Leches (Three Milk Cake),4.7,88 Reviews,32 Photos,https://www.allrecipes.com/recipe/221907/pastel-de-tres-leches-three-milk-cake/
No,No,No,No,https://www.allrecipes.com/recipes/23278/holidays-and-events/diwali/
No,No,No,No,https://www.allrecipes.com/recipes/1641/holidays-and-events/fathers-day/
No,No,No,No,https://www.allrecipes.com/search?q=Pancakes
Sopa de Fideos,4.4,49 Reviews,29 Photos,https://www.allrecipes.com/recipe/217935/sopa-de-fideos/
Original Mexican Flan Napolitano,4.3,1 Review,5 Photos,https://www.allrecipes.com/recipe/260650/original-mexican-flan-napolitano/
Ex-Girlfriend's Mom's Salsa Fresca (Pico de Gallo),4.8,174 Reviews,38 Photos,https://www.allrecipes.com/recipe/222041/ex-girlfriends-moms-salsa-fresca-pico-de-gallo/
South Texas Carne Guisada,4.6,122 Reviews,24 Photos,https://www.allrecipes.com/recipe/93232/south-texas-carne-guisada/
Traditional Mexican Guacamole,4.6,138 Reviews,30 Photos,https://www.allrecipes.com/recipe/221286/traditional-mexican-guacamole/
Jose's Shrimp Ceviche,4.7,80 Reviews,34 Photos,https://www.allrecipes.com/recipe/139917/joses-shrimp-ceviche/
No,No,No,No,https://www.allrecipes.com/recipes/1445/holidays-and-events/mothers-day/
Mexican Chorizo,4.6,14 Reviews,2 Photos,https://www.allrecipes.com/recipe/214089/mexican-chorizo/
Margarita Cake,4.7,343 Reviews,73 Photos,https://www.allrecipes.com/recipe/20472/margarita-cake/
Strawberry Jalapeno Margarita,5.0,1 Review,1 Photo,https://www.allrecipes.com/strawberry-jalapeno-margarita-recipe-8636576
Refried Bean and Cheese Enchiladas,4.4,45 Reviews,11 Photos,https://www.allrecipes.com/recipe/237269/refried-bean-and-cheese-enchiladas/
Homemade Corn Tortillas,4.4,148 Reviews,24 Photos,https://www.allrecipes.com/recipe/17500/corn-tortillas/
No,No,No,No,https://www.allrecipes.com/recipes/1578/holidays-and-events/events-and-gatherings/
Sautéed Sweet Plantains (Tajaditas Dulces de Platano),4.6,78 Reviews,23 Photos,https://www.allrecipes.com/recipe/146246/sauteed-sweet-plantains-tajaditas-dulces-de-platano/
Best Grilled Fish Tacos,4.7,759 Reviews,59 Photos,https://www.allrecipes.com/recipe/142614/grilled-fish-tacos-with-chipotle-lime-dressing/
No,No,No,No,https://www.allrecipes.com/recipes/16329/holidays-and-events/kwanzaa/
Clamato Michelada Perfecta,3.7,1 Review,3 Photos,https://www.allrecipes.com/recipe/241237/clamato-michelada-perfecta/
No,No,No,No,https://www.allrecipes.com/search?q=Meatloaf
3 Milk Cake or Tres Leches,4.8,31 Reviews,16 Photos,https://www.allrecipes.com/recipe/221906/3-milk-cake-or-tres-leches/
Tres Leches Cake,4.6,289 Reviews,102 Photos,https://www.allrecipes.com/recipe/15654/tres-leches-cake/
Fiery Fish Tacos with Crunchy Corn Salsa,4.5,659 Reviews,93 Photos,https://www.allrecipes.com/recipe/74337/fiery-fish-tacos-with-crunchy-corn-salsa/
Impossible Cake,4.8,78 Reviews,62 Photos,https://www.allrecipes.com/recipe/254217/impossible-cake/
No,No,No,No,https://www.allrecipes.com/recipes/16098/holidays-and-events/lent/
No,No,No,No,https://www.allrecipes.com/recipes/199/holidays-and-events/valentines-day/
Mexican Street Corn Salad,4.7,59 Reviews,20 Photos,https://www.allrecipes.com/recipe/217842/mexican-street-vendor-style-corn-salad/
No,No,No,No,https://www.allrecipes.com/recipes/17327/holidays-and-events/veterans-day/
D's Famous Salsa,4.7,893 Reviews,60 Photos,https://www.allrecipes.com/recipe/16259/ds-famous-salsa/
No,No,No,No,https://www.allrecipes.com/recipes/188/holidays-and-events/easter/
No,No,No,No,https://www.allrecipes.com/recipes/190/holidays-and-events/hanukkah/
No,No,No,No,https://www.allrecipes.com/recipes/198/holidays-and-events/thanksgiving/
Mamacita's Mexican Rice,4.5,65 Reviews,21 Photos,https://www.allrecipes.com/recipe/221930/mamacitas-mexican-rice/
Agua de Jamaica (Iced Hibiscus Tea),4.8,50 Reviews,10 Photos,https://www.allrecipes.com/recipe/214366/agua-de-jamaica-hibiscus-water/
Enchiladas Verdes,4.7,164 Reviews,41 Photos,https://www.allrecipes.com/recipe/213700/enchiladas-verdes/
No,No,No,No,https://www.allrecipes.com/recipes/11985/everyday-cooking/family-friendly/back-to-school/
No,No,No,No,https://www.allrecipes.com/recipes/195/holidays-and-events/ramadan/
No,No,No,No,https://www.allrecipes.com/search?q=Lasagna
7 Absolutely Irresistible Mexican Flan Recipes,No,No,No,https://www.allrecipes.com/gallery/mexican-flan-recipes/
Flan Mexicano (Mexican Flan),4.9,147 Reviews,52 Photos,https://www.allrecipes.com/recipe/214091/flan-mexicano-mexican-flan/
No,No,No,No,https://www.allrecipes.com/recipes/1502/holidays-and-events/memorial-day/
Microwave Flan,2.4,20 Reviews,3 Photos,https://www.allrecipes.com/recipe/109661/microwave-flan/
Enchiladas,4.2,289 Reviews,56 Photos,https://www.allrecipes.com/recipe/18064/enchiladas/
No,No,No,No,https://www.allrecipes.com/recipes/197/holidays-and-events/st-patricks-day/
Orange and Cinnamon Tequila Shot,4.7,2 Reviews,2 Photos,https://www.allrecipes.com/recipe/222064/orange-and-cinnamon-tequila-shot/
No,No,No,No,https://www.allrecipes.com/recipes/1640/holidays-and-events/labor-day/
Shrimp Quesadillas,4.8,103 Reviews,31 Photos,https://www.allrecipes.com/recipe/221294/shrimp-quesadillas/
Super Nachos,4.8,104 Reviews,74 Photos,https://www.allrecipes.com/recipe/51147/super-nachos/
No,No,No,No,https://www.allrecipes.com/recipes/1419/holidays-and-events/big-game/
Easy Chicken Fajita Soup,4.7,250 Reviews,48 Photos,https://www.allrecipes.com/recipe/188390/easy-chicken-fajita-soup/
Colorado Green Chili (Chile Verde),4.6,100 Reviews,16 Photos,https://www.allrecipes.com/recipe/214191/colorado-green-chili-chile-verde/
Authentic Mole Sauce,4.5,67 Reviews,23 Photos,https://www.allrecipes.com/recipe/223261/authentic-mole-sauce/
Sweet Rice,4.5,38 Reviews,10 Photos,https://www.allrecipes.com/recipe/214083/sweet-rice/
Mexican Strawberry Agua Fresca,4.8,61 Reviews,25 Photos,https://www.allrecipes.com/recipe/141370/mexican-strawberry-water-agua-de-fresa/
Quick Fideo,4.3,10 Reviews,12 Photos,https://www.allrecipes.com/recipe/232316/quick-fideo/
Smoky Four-Pepper Salsa,4.7,7 Reviews,3 Photos,https://www.allrecipes.com/recipe/140294/smoky-four-pepper-salsa/
Agua Fresca de Pepino (Cucumber Limeade),4.7,22 Reviews,17 Photos,https://www.allrecipes.com/recipe/246118/agua-fresca-de-pepino-cucumber-limeade/
Chocolate Tres Leches Cake,4.9,39 Reviews,21 Photos,https://www.allrecipes.com/recipe/229054/chocolate-tres-leches-cake/
Instant Pot Carnitas,4.9,370 Reviews,52 Photos,https://www.allrecipes.com/recipe/246332/carnitas-pressure-cooker/
Spicy Watermelon Margarita,5.0,1 Review,3 Photos,https://www.allrecipes.com/recipe/264845/spicy-watermelon-margarita/
No,No,No,No,https://www.allrecipes.com/recipes/841/holidays-and-events/christmas/desserts/christmas-cookies/
No,No,No,No,https://www.allrecipes.com/search?q=Chili
Vampiros Mexicanos (Mexican Vampires),4.7,2 Reviews,3 Photos,https://www.allrecipes.com/recipe/221159/vampiros-mexicanos-mexican-vampires/
Carne con Chile,5.0,8 Reviews,2 Photos,https://www.allrecipes.com/recipe/217165/carne-con-chile/
No,No,No,No,https://www.allrecipes.com/recipes/196/holidays-and-events/rosh-hashanah/
Slow Cooker Carnitas,4.6,"1,502 Reviews",165 Photos,https://www.allrecipes.com/recipe/139603/slow-cooker-carnitas/
Mexican Oxtail Beef Soup,4.5,6 Reviews,4 Photos,https://www.allrecipes.com/recipe/214090/mexican-oxtail-beef-soup/
Chicken Mole,4.5,48 Reviews,19 Photos,https://www.allrecipes.com/recipe/213733/chicken-mole/
Chicken Enchiladas with Creamy Green Chile Sauce,4.5,362 Reviews,56 Photos,https://www.allrecipes.com/recipe/125658/chicken-enchiladas-with-creamy-green-chile-sauce/
No,No,No,No,https://www.allrecipes.com/search?q=Chicken
Chicken Enchilada Slow Cooker Soup,4.7,305 Reviews,47 Photos,https://www.allrecipes.com/recipe/218057/chicken-enchilada-slow-cooker-soup/
No,No,No,No,https://www.allrecipes.com/recipes/2444/holidays-and-events/events-and-gatherings/oktoberfest/
No,No,No,No,https://www.allrecipes.com/recipes/193/holidays-and-events/new-year/
No,No,No,No,https://www.allrecipes.com/recipes/1513/holidays-and-events/events-and-gatherings/april-fools-day/
Real Chiles Rellenos,4.7,153 Reviews,40 Photos,https://www.allrecipes.com/recipe/214088/real-chiles-rellenos/
"Our 15 Best Cinco de Mayo Recipes, According to an Allrecipes Allstar",No,No,No,https://www.allrecipes.com/cinco-de-mayo-recipes-from-yoly-11950114
